"Name","mmax","Mmax","z","dL (Mpc)"
"AT2020bvj","19.64","-16.2808","0.034226","155.405"
"SN2011fd","14.8","-18","0.007","31"
"AT2020any","20.01","-17.7","0.076","355"
"SN2001aa","18","-16.9","0.021","94.4"
"SN2004Z","18.5","-16.6","0.023,0.023","104"
"SN2019fes","17.47","-18.2247","0.030868","139.814"
"AT2020bdl","20.04","-20.53","0.278","1467"
"SN2003Z","16","-16","0.00629,0.00638","20"
"SN2013cd","16.7","-19.511","0.03908","178.07"
"AT2019smk","18.5","-17.711","0.03908","178.07"
"SN2010js","17.6","-18.6","0.039,0.039","178"
"SN2003cq","16.87","-18.93","0.033283","147"
"SN2008I","19.1","-16.7","0.0333","147"
"AT2019jr","18.85","-19.2882","0.093736","443.704"
"PTF11kod","20.9","-18.79","0.188","944.1"
"SN2018dyq","18.49","-19","0.08","380"
"SN2019hqq","18.71","-18.9","0.075","351"
"AT2019rr","19.11","-17.9947","0.058693","271.217"
"PTF12dja","20","-19.41","0.166","822.8"
"SN2018gre","18.89","-17.87","0.05019","230.53"
"SN2010B","13.36","-19.92","0.0102","45.49"
"PTF10ncz","20.43","-19","0.17","845"
"SNF20080618-008","19.8","-18.59","0.105","500.8"
"SN2005C","18.4","-18.2","0.046","211"
"SN2019hep","18.53","-17.3","0.033","150"
"AT2018cub","18.72","-17.767","0.044312","202.678"
"AT2020ahg","21.01","-11.164","0.006138","27.292"
"SN1999da","0.13","-33.5","0.01269,0.01269","54"
"SN2019ncd","18.93","-18.9","0.083,0.081","390"
"SN2020ht","18.52","-18.8","0.065","302"
"SN2019vuv","18.56","-19.4","0.086","405"
"SN1992aa","18","-17.8","0.033","150"
"AT2019aiy","18.93","-19.6205","0.112886","541.157"
"CSS130318:133316+605531","18","-19","0.07","330"
"SN1996bk","13.9","-18.3","0.00681","27"
"SN2012hi","16.8","-18.552","0.02639","119.14"
"SN2007kg","16.95","-15.3","0.0063,0.0067,0.0067","28"
"SN2004gz","16.3","-17.89","0.0155","69.41"
"SN2008an","17.3","-18.11","0.0271","122.4"
"AT2019wmp","19.49","-20.13","0.182","910.8"
"AT2019wqh","18.27","-18.955","0.061989","287.112"
"SN2019fcx","17.07","-19.0016","0.036665","166.776"
"SN2019drf","17.92","-19.1","0.0566","261.2"
"SN1999cm","17.1","-19.4","0.045,0.045","206"
"AT2018bpb","19.3","-19.8048","0.14481","708.466"
"SN2012bv","15.6","-17","0.0073","32.5"
"AT2020bpa","20.36","-19","0.2","1000"
"SN2017ixv","15.3","-17.251","0.007302","32.497"
"CSS140620:171007+610911","18.8","-19.1","0.085","400"
"PTF09dqt","19.42","-19.13","0.113","541.7"
"SN2018jtb","18.94","-19.5133","0.10805","516.338"
"SN2019cqr","19.12","-19","0.1","480"
"SN2019pkz","17.2","-20","0.05","230"
"SN2019awk","19.2","-17.3","0.044","201"
"AT2019lll","19.18","-17.0137","0.038767","176.607"
"PTF10nda","19.06","-19.2363","0.10067","478.734"
"SN2003la","18","-17.684","0.03071,0.03071","139.08"
"SN2003au","19.2","-16.493","0.03084","139.68"
"SN2019smr","18.28","-18.911","0.06104","282.53"
"AT2018bpg","17.9","-18.1196","0.035806","162.767"
"SN2016ayf","16.79","-19.1679","0.034811","158.129"
"SN1999bh","16.93","-17.489","0.01721","77.166"
"SN2019oyt","18.47","-16","0.02","90"
"AT2019ook","18.88","-19.4","0.099","470"
"SN2019gqp","18.55","-18","0.05","230"
"Gaia19fqf","17.49","-18.7374","0.039367","179.418"
"GRB 151027A","","","0.38","2110"
"AT2019xbv","20.04","-18.6043","0.117754","566.281"
"iPTF15beh","17.5","-20.7","0.095","450"
"Gaia16cgh","18.09","-19.218","0.06438","298.69"
"AT2019xca","18.99","-17.5572","0.045546","208.507"
"SN2018khw","17.52","-18.204","0.03128","141.72"
"SN2017dpu","18.03","-16.5","0.018","80.8"
"SN2017cts","16.6","-18.12","0.01976","88.769"
"SN2018cty","18.75","-18.2417","0.055757","257.117"
"AT2020aoa","20.04","-19.97","0.217","1108"
"AT2018bqh","18.6","-17.1283","0.031345","142.024"
"SN2017gvb","17.33","-18.3273","0.030344","137.388"
"SN2018fcd","18.7","-19.2","0.085","400"
"AT2020qn","18.8","-15.707","0.017922","80.4012"
"SN2018coe","18.75","-19","0.08","380"
"PTF09tm","","","0.035","159"
"SN2016aa","17.73","-18","0.03","140"
"iPTF15iy","20.6","-18.8398","0.168251","835.065"
"SN2018fhg","19.25","-18.109","0.06589","306.01"
"SN2013bt","17.28","-18.7784","0.036446","165.753"
"SN2005dj","16.1","-17.5","0.012","53.6"
"SN2018epj","18.37","-19.243","0.07393","345.27"
"SN2018ddq","19","-20.45","0.169","839.2"
"AT2018iye","18.49","-18.2482","0.049684","228.125"
"SN2018mc","17.4","-18.6","0.035","159"
"SN2018fec","18.48","-19.2","0.075","351"
"PTF11aad","19.9","-18.6","0.11","526"
"AT2018huv","18.72","-17.2695","0.035317","160.487"
"AT2019sza","19.37","-19.0372","0.105829","504.987"
"SN2017ipi","17.75","-18.391","0.037845","172.291"
"AT2019avm","18.77","-14.8726","0.012055","53.8429"
"PTF12dlz","16.8","-19","0.0324","146.9"
"AT2019ruf","19.41","-18.6","0.087","410"
"SN2015ai","16.2","-19.5","0.031","140"
"AT2019txd","19.82","-15.8629","0.030701","139.04"
"SN2019rrc","19.51","-18.1","0.073,0.062","341"
"SN2017keg","19.02","-18","0.05","230"
"SN2000cv","16","-18.774","0.02025,0.02026,0.02","91.003"
"SN2007gi","12.9","-18.5","0.00482","19"
"SN2005ao","16.6","-19.4","0.038407","160"
"SN2020aoi","16.76","-19.086","0.03308","150.08"
"SN2012bd","18.1","-18","0.037","168"
"GRB 070208A","","","1.165","8199.7"
"SN2018bsr","16.8","-19","0.04","180"
"SN2018itn","18.29","-19","0.065","302"
"SN2020zi","18.6","-17.8814","0.044201","202.154"
"SN2000dt","17.4","-17.8","0.023,0.023","110"
"SDSS0606-52365-412","","","0.142","693.5"
"ASASSN-14cb","16.7","-19.1832","0.033643","152.693"
"SN2018gva","16","-18.9007","0.021465","96.5506"
"SN2016fes","17.9","-18.9","0.052","239"
"SN2003be","23.04","-19.4","0.64,0.64,0.64","3930"
"SN2003er","23.2","-19.07","0.595","3598"
"SN2012by","17.3","-18.39","0.0308","139.5"
"SN2003dz","25.1","-16.7","0.48","2780"
"SN2019vxm","14.73","-19.9","0.019","85.3"
"HST04Sas","24.8","-16.8315","0.44643","2549.47"
"K0405-002","25","-17.12","0.556","3315"
"SN1994W","13","-19.1","0.00403","26"
"SN2003bb","25.6","-17.71","0.955","6417"
"GNW12Gor","","","1.016,1.0164","6929.39"
"SN2003dx","25.2","-16.74","0.512","3002"
"SN2016ino","18.16","-17.5","0.031","140"
"SN2019fkl","17.57","-17.9","0.028","127"
"SN2003U","16.45","-18.9","0.028341","120"
"SN2003bc","24","-17.93","0.511","2995"
"HST04Pata","","","0.41","2310"
"SN2019ger","18.67","-18.58","0.0626","290.1"
"HST05Dic","23.5","-18.93","0.638","3916"
"AT2018eei","18.1","-17.282","0.02676","120.84"
"GND13Cam","","","1.222,1.222","8697.6"
"HST05Den","","","0.971","6550"
"K0405-001","24.5","-18.933","1.012","6892.4"
"HST04Cum","","","0.972","6558"
"HST04Geo","","","0.937","6269"
"SN2003N","25.9","-15.62","0.425","2405"
"GND13Gar","","","1.067","7357.3"
"SN2003ew","24.1","-17.86","0.517","3038"
"SN2003lv","23.25","-20.01","0.935","6252"
"SN2003dy","23.9","-20.12","1.34,1.34,1.34","9745"
"HST05Ton","","","0.778","4988"
"GND13Jay","","","1.03,1.03","7044"
"Hawk","23.9","-17.9708","0.49673","2895.51"
"AT2020awl","19.9","-19.74","0.184","921.9"
"GND13Bid","","","0.585,0.585","3525"
"Strolger","25.3","-18.23","1.06,1.01","7298"
"GND13Reh","","","1.019,1.019","6951.3"
"Gabi","25.2","-18.45","1.12","7811"
"Yowie","22.5","-19.1856","0.45733","2623.63"
"GND13War","","","1.689,1.689","12956"
"Redford","25.6","-18.177","1.191","8426.1"
"HST05Bra","","","0.48","2780"
"SN2003ba","23.7","-16.93","0.286,0.46","1516"
"HST05Pic","","","0.911","6055"
"SN1997ff","26.8","-17.764","1.755,1.755,1.32","13580"
"SN2002dd","24","-19.3","0.95,0.95,1.1,0.95","6380"
"SN1994A","18","-17.5","0.028","127"
"HST05Kir","","","0.448","2560"
"HST05Lan","26","-17.8506","1.23407","8803.68"
"HST04Con","","","0.838","5464"
"Thames","","","0.954","6409"
"HST05Cas","","","0.73","4610"
"SN2003es","23.67","-19.64","0.954,0.954,0.954","6409"
"SN2002dc","22.7","-19.0683","0.47452","2741.53"
"SN1997fg","26.8","-16.5","0.952,0.95,0.952","6392"
"SN2003bd","23.14","-19.4","0.67,0.67,0.67","4160"
"SN2003et","25.3","-18.652","1.296","9351.8"
"SN2003eb","22.79","-20.39","0.899,0.899","5957"
"SN2003eq","23.03","-20","0.839,0.839","5472"
"Eagle","25.1","-18.3473","1.01891","6950.5"
"AT2020bpd","20.01","-15.538","0.02887","130.57"
"SN2003en","25.5","-16.6","0.54","3200"
"GND12Bre","","","1.88,1.88","14770"
"SN2002kl","24.8","-16.65","0.412","2318"
"GND13She","","","0.473,0.473","2731"
"AT2020bhj","20.33","-17.2997","0.074479","347.969"
"AT2020ms","20.16","-15.6659","0.032774","148.654"
"HST05Sev","","","0.96","6460"
"SN2011M","16.1","-18.34","0.0174","78.03"
"K0404-005","24.4","-18.5","0.79","5080"
"HST05Mob","","","0.68","4230"
"Spock","24.8","-18.23","0.839","5472"
"SN1996co","18","-19.5","0.071","331"
"GND13Ful","","","0.783,0.783","5028"
"SN2005mr","25","-17.578","0.68,0.6827","4252"
"GND13Vin","","","0.84,0.84","5480"
"SN2006le","15.91","-18.4","0.017432","72"
"HST05Fer","25.1","-18.35","1.02","6960"
"GND13Roy","","","0.851,0.851","5568"
"GND12Bur","","","0.82,0.69","5320"
"GND12Cal","","","0.941,0.941","6302"
"HST04Man","23.2","-19.8692","0.85454","5596.93"
"GND12Fai","","","1.92,1.77","15160"
"HST05Fil","","","1.21","8592"
"SN2019neg","19.32","-18.3","0.074","346"
"K0404-011","24.9","-19.39","1.53","11470"
"AT2020bg","19.52","-19.71","0.153","752.3"
"K0404-010","25.8","-16.5","0.61","3710"
"HST04Gua","","","1.26","9032"
"GND12Kin","","","1.46","10830"
"K0405-007","23.7","-18.17","0.497","2897"
"GND13Sto","25.23","-19.42","1.83","14290"
"SN2016ajs","19.94","-18.7","0.12","578"
"GND13Fin","","","1.488,1.4878","11085.6"
"K0404-008","24.7","-15.87","0.278","1467"
"K0405-005","25.6","-16.98","0.683","4254"
"GND12Whe","","","1.335,1.335","9700.1"
"HST05Ste","","","0.475","2745"
"GRB 120811C","","","2.671","22641"
"SN2018cod","17.88","-18","0.03","140"
"GND13Wol","","","0.943,0.9431","6318.8"
"GND12Tom","","","1.14,1.14","7983"
"HST05Koe","25.9","-17.94","1.23","8768"
"GND12Col","25.6","-19.44","2.24","18290"
"SN2003az","24.22","-19.682","1.265,1.265,1.27","9076.7"
"Patuxent","23.8","-18.38","0.571","3423"
"GND12Daw","","","0.83","5400"
"K0405-008","23.8","-19.3","0.88","5800"
"SN1997di","18.1","-16.5","0.019,0.019","85.3"
"HST05Sco","","","0.93","6210"
"GNW12Ger","","","0.85,0.85","5560"
"SN2002ki","23.85","-19.837","1.141","7991.8"
"SN2017fbh","16","-19.4358","0.027422","123.891"
"K0404-006","25.4","-16.02","0.406","2279"
"SN150G","25.2","-19.316","1.713","13182"
"SN2001ku","19.9","-19.062","0.1358,0.14,0.1358","660.64"
"SN2018ecj","17.71","-15.9542","0.012175","54.3838"
"SN2004gw","17.5","-16.894","0.01702","76.303"
"SN1997cj","22.8","-19","0.5,0.5,0.5","2900"
"SN2020bpi","18.56","-17.8","0.041","187"
"AT2019pqm","19.96","-17.1","0.057","263"
"SN2019bek","15.37","-18.7","0.015","67.1"
"AT2019mxw","19.11","-18.6","0.078","365"
"SN1999bg","15.22","-16.8","0.004253","26"
"PS15blf","17.33","-16.65","0.0141","63.07"
"SN2004bx","26.3","-14.564","0.3174,0.32","1709.1"
"SN2019bau","19.26","-18.52","0.0799","374.7"
"SN2019pnw","18.62","-19","0.07","330"
"SN2018lpg","20.03","-18","0.1","480"
"SN2019avx","17.78","-18.5415","0.041093","187.518"
"SN2009hs","17.14","-18.3","0.028","127"
"AT2018kfb","19.47","-16.4952","0.034927","158.669"
"SN2019cnu","17.09","-18.349","0.027462","124.075"
"SN2018ddg","17.99","-19.6","0.073","341"
"Gaia17byd","18.83","-19.735","0.113627","544.972"
"AT2020W","20.32","-18.5961","0.133058","646.181"
"SN2019ceg","18.56","-17.2684","0.032812","148.831"
"SN2019bwh","18.87","-19","0.07","330"
"SN2018bio","17.93","-18.7","0.048","220"
"SN2020cdj","17.6","-16.5","0.015","67.1"
"SN2017jav","18.32","-15.823","0.01517","67.915"
"SN2002he","15.8","-19.36","0.024564","109"
"SN2020bzd","18.61","-19.9","0.11","526"
"SN2019qie","18.46","-19","0.08","380"
"SN2018fae","19","-18.8402","0.081924","384.709"
"AT2020ex","19.9","-17.1","0.057","263"
"SN2019duf","16.74","-19.592","0.04129","188.44"
"ASASSN-15li","16.1","-19.23","0.0261","117.8"
"SN2018hxe","18.75","-20.18","0.134","651.1"
"Gaia15adn","17.09","-19","0.04","180"
"AT2020V","20.72","-18.1","0.13","630"
"SN2012cn","17.1","-19","0.04","180"
"SN2011ex","17.6","-19","0.04","180"
"SN2019phs","17.7","-18.5489","0.039754","181.232"
"AT2020aeu","20.29","-19.2","0.172","855.6"
"PTF09ego","","","0.104","495.7"
"ASASSN-15fa","15.86","-19.5747","0.027408","123.826"
"SN2011br","17.6","-17.4","0.022","99"
"SN2003ik","19","-16.12","0.02373","106.92"
"SN2019wds","17.56","-19.0519","0.046907","214.947"
"AT2019zac","19.61","-19.39","0.138","672.3"
"SN2018hon","18.17","-19.6","0.081","380"
"SN2018der","18.48","-18.3349","0.051449","236.527"
"SN1985H","16.4","-14.2","0.00339,0.0034","13.2"
"ASASSN-15ug","","","0.0222","99.91"
"AT2020X","20.03","-18.8687","0.13202","640.718"
"SN2003jb","15.9","-20.5","0.042","192"
"SN2006at","16.73","-17.4","0.015,0.015","67.1"
"SDSS1788-54468-126","","","0.12","578"
"AT2020agz","19.28","-19.42","0.121","583.1"
"AT2020ckw","19.57","-19.22","0.126","609.2"
"SN2017hky","16.25","-16.925","0.009725","43.36"
"SN1993ac","18.08","-18.42","0.0443,0.0487,0.0491,0.0556","204"
"PTF10fqx","19","-15.4","0.017","76.2"
"SN1991au","18.5","-14.5","0.0088","39.2"
"GRB 081203A","","","2.1","16900"
"SN2006bv","17.8","-15.052","0.008384","37.343"
"SN1940D","15","-17.8","0.0091","37"
"SN2017jbp","20.32","-18.7","0.14","683"
"AT2017cxx","17.5","-16.7901","0.016225","72.6957"
"AT2019ruc","19.35","-18.5178","0.082956","389.829"
"SN2017ah","17.35","-18.4818","0.032863","149.068"
"SN2019vni","20.4","-18.5","0.132","640.6"
"SN2016dxx","14.26","-21","0.03","140"
"SN2018zc","18.35","-18.7","0.056","258"
"SN2001Q","16.9","-16.7","0.012,0.012","53.6"
"SN2004cr","17.8","-16.6","0.017,0.017","76.2"
"SN2018ffg","19.33","-19.06","0.105","500.8"
"SN2018cco","18.49","-19","0.07","330"
"AT2019qdh","19.55","-18.4","0.087","410"
"GRB 150314A","","","1.758","13608"
"AT2018lkg","15.73","-18.2721","0.014217","63.6029"
"AT2017hym","17.24","-16.6454","0.013476","60.2543"
"SN2017hmi","17.24","-19.01","0.0398","181.4"
"AT2020bh","19.97","-18.3","0.098","465"
"SN1995J","17.5","-15.71","0.00989,0.0099","44.1"
"AT2019inl","20.45","-13.62","0.0147","65.79"
"SN2003ki","18","-17.2","0.025,0.025","113"
"SN2018btj","18.67","-18.605","0.063414","294.006"
"PTF09qn","18.83","-18.44","0.0634","293.9"
"SN2010fw","18.2","-17.22","0.0272","122.9"
"SN2018ise","18.52","-18.45","0.0552","254.4"
"SN2019hsw","15.4","-16.642","0.005779","25.689"
"SN2014ax","17.6","-18.2","0.0324","146.9"
"SN2003jf","18.5","-17.5","0.035","159"
"SN2018ebt","14.92","-21","0.03","140"
"SN2019pbk","18.82","-17.7","0.045","206"
"SN1998bm","17.6","-14.3","0.0052","24"
"SN2018jrj","17.89","-18.0998","0.035322","160.51"
"SN2011ia","14.53","-19.9608","0.017789","79.7966"
"CSS130917:181255+641840","18.15","-19.3","0.069","321"
"iPTF14bag","","","0.116","557.2"
"SN2019kwu","20.83","-21","0.6","3600"
"SN2019gaj","17.4","-18.6259","0.035908","163.242"
"SN2019meh","17.41","-20.7","0.093","440"
"SN1996bn","18","-16","0.014","62.6"
"SN2002em","18","-16","0.014","62.6"
"PTF11ddx","19.36","-19.5894","0.13506","656.735"
"SN2019deg","19.08","-18.6","0.075","351"
"SN2019mrg","18.4","-19","0.07","330"
"iPTF13alc","20.1","-18.9","0.14","683"
"SN2017aub","17.4","-16.9","0.016,0.014","71.7"
"AT2019omq","19.23","-18.5","0.079","370"
"AT2018iex","17.75","-20.028","0.07966","373.5"
"SN2001ee","16.7","-17.7","0.015","78"
"SN2006N","14.8","-19","0.014277","60"
"SN1998ex","18.5","-17.6","0.037,0.037","168"
"PS18ev","17.16","-16.8613","0.014343","64.1727"
"AT2019ubr","20.04","-13.9813","0.014343","64.1727"
"AT2018ijo","17.45","-14.633","0.005887","26.171"
"SN1950M","14.5","-17.6","0.0058","25.8"
"SN2018gwb","18.85","-19","0.08","380"
"AT2019slc","19.35","-18.5159","0.082884","389.472"
"SN2019yvq","15.77","-17.26","0.00908","40.46"
"SN2017hkz","18.28","-18.17","0.0435","198.8"
"SN2004fu","15.56","-17.5","0.00921","41.05"
"SN2018jfn","17.9","-18.179","0.036789","167.355"
"NGC1569SNR J04304683+6450378","","","0.00056","2.48"
"NGC1569SNR J04305242+6450432","","","0.00056","2.48"
"NGC1569SNR J04305408+6450435","","","0.00056","2.48"
"NGC1569SNR J04305204+6450444","","","0.00056","2.48"
"NGC1569SNR J04305336+6450445","","","0.00056","2.48"
"NGC1569SNR J04305353+6450477","","","0.00056","2.48"
"NGC1569SNR J04305296+6450488","","","0.00056","2.48"
"NGC1569SNR J04304791+6450503","","","0.00056","2.48"
"SN2001ko","20","-19.039","0.1406,0.14,0.1406","686.06"
"NGC1569SNR J04305155+6450510","","","0.00056","2.48"
"NGC1569SNR J04305246+6450516","","","0.00056","2.48"
"NGC1569SNR J04304654+6450536","","","0.00056","2.48"
"NGC1569SNR J04304842+6450536","","","0.00056","2.48"
"NGC1569SNR J04304820+6450547","","","0.00056","2.48"
"NGC1569SNR J04305219+6450548","","","0.00056","2.48"
"NGC1569SNR J04304748+6450557","","","0.00056","2.48"
"NGC1569SNR J04304579+6450582","","","0.00056","2.48"
"NGC1569SNR J04304950+6450594","","","0.00056","2.48"
"NGC1569SNR J04304697+6451072","","","0.00056","2.48"
"NGC1569SNR J04304603+6451080","","","0.00056","2.48"
"NGC1569SNR J04304848+6451085","","","0.00056","2.48"
"NGC1569SNR J04304575+6451096","","","0.00056","2.48"
"NGC1569SNR J04304773+6451097","","","0.00056","2.48"
"NGC1569SNR J04304532+6451149","","","0.00056","2.48"
"NGC1569SNR J04304560+6451158","","","0.00056","2.48"
"NGC1569SNR J04304435+6451201","","","0.00056","2.48"
"iPTF13akc","18.3","-15.6523","0.013896","62.1518"
"AT2020afg","18.79","-18.9","0.078","365"
"SN2018fhe","18.69","-18.7","0.068","316"
"Gaia15aek","16.39","-17.2","0.012","53.6"
"AT2019thp","19.14","-16.8867","0.035922","163.308"
"AT2018idk","19.42","-16.4723","0.033784","153.349"
"SN2006ar","16.35","-18.71","0.022538","104"
"Gaia15ada","18.4","-18","0.04","180"
"SN2019fch","18.89","-17.3416","0.039443","179.774"
"ASASSN-15ub","16.6","-19.1767","0.032046","145.275"
"MASTER OT J120755.95+650647.8","15.5","-16.101","0.004717","20.951"
"AT2020aoo","19.68","-19.8","0.17","845"
"SN2000L","17.2","-16","0.01101,0.01101","50"
"SN2016coj","12.88","-18.61","0.004483","19.908"
"AT2019lmi","18.77","-18.9065","0.076073","355.806"
"PTF12mkp","16.97","-22.26","0.153,0.153","752.3"
"SN2006ao","17.4","-18","0.03,0.03","140"
"SN2018fjv","18.97","-19","0.07","330"
"PTF10fxp","19.24","-19.1377","0.10443","497.852"
"SN2001dx","17.2","-17.4","0.019","85.3"
"SN2019cbc","16.44","-18","0.02","90"
"PTF10acqp","19.96","-19.5","0.17","845"
"AT2019sxz","19.09","-18.4309","0.070897","330.416"
"SN2019bua","18.25","-15","0.01","45"
"AT2018lnz","19.36","-19.94","0.158","779.3"
"SN2019klk","18.66","-18.4","0.058","268"
"SN2019pyr","19.15","-19","0.1","480"
"SN2019bwi","18.85","-16.759","0.02968","134.32"
"PTF11fuz","19.1","-19","0.1","480"
"AT2019cdt","18.68","-20.55","0.153","752.3"
"AT2018jer","19.2","-19.0981","0.100749","479.135"
"SN2019nkf","16","-17.4","0.0108","48.19"
"SN2018kbe","17.43","-18","0.03","140"
"NGC2403SNR J073721400+65330690","","","0.0007695","3.4075"
"NGC2403SNR J073710700+65331100","","","0.0007695","3.4075"
"NGC2403SNR J073721600+65331440","","","0.0007695","3.4075"
"NGC2403SNR J073716000+65332890","","","0.0007695","3.4075"
"NGC2403SNR J073653800+65334170","","","0.0007695","3.4075"
"NGC2403SNR J073652200+65334190","","","0.0007695","3.4075"
"NGC2403SNR J073701900+65334260","","","0.0007695","3.4075"
"NGC2403SNR J073712400+65334590","","","0.0007695","3.4075"
"NGC2403SNR J073703000+65334610","","","0.0007695","3.4075"
"NGC2403SNR J073651100+65335170","","","0.0007695","3.4075"
"SN2018zf","14.7","-19.94","0.01905","85.534"
"NGC2403SNR J073657400+65335880","","","0.0007695","3.4075"
"NGC2403SNR J073654300+65340400","","","0.0007695","3.4075"
"NGC2403SNR J073656300+65340560","","","0.0007695","3.4075"
"NGC2403SNR J073658200+65340770","","","0.0007695","3.4075"
"NGC2403SNR J073701800+65341340","","","0.0007695","3.4075"
"SN2002kg","19","-8.7","0.0008","3.5"
"NGC2403SNR J073649200+65343060","","","0.0007695","3.4075"
"NGC2403SNR J073705800+65343220","","","0.0007695","3.4075"
"NGC2403SNR J073701400+65343570","","","0.0007695","3.4075"
"NGC2403SNR J073704700+65343590","","","0.0007695","3.4075"
"NGC2403SNR J073702100+65343660","","","0.0007695","3.4075"
"NGC2403SNR J073702800+65343810","","","0.0007695","3.4075"
"NGC2403SNR J073701300+65343840","","","0.0007695","3.4075"
"NGC2403SNR J073649500+65343950","","","0.0007695","3.4075"
"NGC2403SNR J073648300+65344030","","","0.0007695","3.4075"
"NGC2403SNR J073706400+65344610","","","0.0007695","3.4075"
"NGC2403SNR J073642900+65345190","","","0.0007695","3.4075"
"NGC2403SNR J073648300+65345850","","","0.0007695","3.4075"
"NGC2403SNR J073701300+65345950","","","0.0007695","3.4075"
"NGC2403SNR J073644200+65350260","","","0.0007695","3.4075"
"AT2019aabm","19.85","-6.622","0.000445","1.97"
"NGC2403SNR J073654400+65351100","","","0.0007695","3.4075"
"NGC2403SNR J073653700+65351150","","","0.0007695","3.4075"
"NGC2403SNR J073630500+65352440","","","0.0007695","3.4075"
"NGC2403SNR J073648900+65353030","","","0.0007695","3.4075"
"NGC2403SNR J073653800+65353210","","","0.0007695","3.4075"
"SN2020zk","19.05","-19","0.09","420"
"NGC2403SNR J073650600+65353580","","","0.0007695","3.4075"
"NGC2403SNR J073655600+65353610","","","0.0007695","3.4075"
"NGC2403SNR J073651500+65353640","","","0.0007695","3.4075"
"NGC2403SNR J073659300+65353800","","","0.0007695","3.4075"
"NGC2403SNR J073655100+65353810","","","0.0007695","3.4075"
"NGC2403SNR J073655800+65353860","","","0.0007695","3.4075"
"NGC2403SNR J073655400+65354220","","","0.0007695","3.4075"
"NGC2403SNR J073630400+65354340","","","0.0007695","3.4075"
"NGC2403SNR J073630700+65354860","","","0.0007695","3.4075"
"NGC2403SNR J073652700+65355020","","","0.0007695","3.4075"
"NGC2403SNR J073703200+65355180","","","0.0007695","3.4075"
"NGC2403SNR J073653200+65355410","","","0.0007695","3.4075"
"SN2004dj","10.69","-17","0.000456,0.000777,0.000805,0.000816,0.000827,0.000848,0.000888,0.000924,0.000961,0.000983,0.000997,0.000437","3.5"
"NGC2403SNR J073646300+65355790","","","0.0007695","3.4075"
"NGC2403SNR J073653400+65355980","","","0.0007695","3.4075"
"NGC2403SNR J073702400+65360170","","","0.0007695","3.4075"
"NGC2403SNR J073657200+65360390","","","0.0007695","3.4075"
"NGC2403SNR J073644900+65360590","","","0.0007695","3.4075"
"NGC2403SNR J073647700+65360710","","","0.0007695","3.4075"
"NGC2403SNR J073624100+65360720","","","0.0007695","3.4075"
"NGC2403SNR J073651500+65360950","","","0.0007695","3.4075"
"NGC2403SNR J073704900+65361070","","","0.0007695","3.4075"
"NGC2403SNR J073646500+65361080","","","0.0007695","3.4075"
"NGC2403SNR J073642500+65361160","","","0.0007695","3.4075"
"NGC2403SNR J073625600+65361240","","","0.0007695","3.4075"
"NGC2403SNR J073652900+65361380","","","0.0007695","3.4075"
"NGC2403SNR J073651000+65361430","","","0.0007695","3.4075"
"NGC2403SNR J073641100+65361800","","","0.0007695","3.4075"
"NGC2403SNR J073647500+65361990","","","0.0007695","3.4075"
"NGC2403SNR J073640800+65362060","","","0.0007695","3.4075"
"NGC2403SNR J073649300+65362160","","","0.0007695","3.4075"
"NGC2403SNR J073647900+65362390","","","0.0007695","3.4075"
"NGC2403SNR J073650900+65362450","","","0.0007695","3.4075"
"NGC2403SNR J073638100+65362620","","","0.0007695","3.4075"
"NGC2403SNR J073647900+65362630","","","0.0007695","3.4075"
"NGC2403SNR J073658100+65362870","","","0.0007695","3.4075"
"NGC2403SNR J073637500+65363150","","","0.0007695","3.4075"
"NGC2403SNR J073640800+65363490","","","0.0007695","3.4075"
"NGC2403SNR J073637000+65363540","","","0.0007695","3.4075"
"NGC2403SNR J073645200+65363580","","","0.0007695","3.4075"
"NGC2403SNR J073645800+65363600","","","0.0007695","3.4075"
"NGC2403SNR J073651100+65363660","","","0.0007695","3.4075"
"NGC2403SNR J073704600+65363820","","","0.0007695","3.4075"
"NGC2403SNR J073637000+65363910","","","0.0007695","3.4075"
"NGC2403SNR J073645700+65364060","","","0.0007695","3.4075"
"NGC2403SNR J073645300+65364200","","","0.0007695","3.4075"
"NGC2403SNR J073644200+65364570","","","0.0007695","3.4075"
"NGC2403SNR J073635400+65364580","","","0.0007695","3.4075"
"NGC2403SNR J073641000+65364860","","","0.0007695","3.4075"
"NGC2403SNR J073650100+65364890","","","0.0007695","3.4075"
"NGC2403SNR J073641500+65365050","","","0.0007695","3.4075"
"NGC2403SNR J073636900+65365100","","","0.0007695","3.4075"
"NGC2403SNR J073641900+65365170","","","0.0007695","3.4075"
"NGC2403SNR J073641200+65365270","","","0.0007695","3.4075"
"NGC2403SNR J073620200+65365350","","","0.0007695","3.4075"
"NGC2403SNR J073622800+65365420","","","0.0007695","3.4075"
"NGC2403SNR J073647100+65365450","","","0.0007695","3.4075"
"NGC2403SNR J073651100+65365580","","","0.0007695","3.4075"
"NGC2403SNR J073635400+65365880","","","0.0007695","3.4075"
"NGC2403SNR J073648100+65365930","","","0.0007695","3.4075"
"NGC2403SNR J073642700+65365940","","","0.0007695","3.4075"
"NGC2403SNR J073629200+65370010","","","0.0007695","3.4075"
"NGC2403SNR J073626900+65370180","","","0.0007695","3.4075"
"NGC2403SNR J073642500+65370280","","","0.0007695","3.4075"
